codigo,cnpj,razao_social,fonte_nfse,outro_sistema_nsu,tipo_autenticacao,thumbprint_proprio,procuracao_ativa,pode_consultar,pode_baixar,nfse_nsu_habilitado
001,04252011000110,ALPHA COMERCIO E SERVICOS LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
002,11222333000181,BETA TECNOLOGIA E SISTEMAS S.A.,ADN Nacional,NAO,procuracao,,1,1,1,1
003,33444555000106,GAMMA CONSULTORIA EMPRESARIAL LTDA,Provedor Municipal,SIM,procuracao,,1,1,1,0
004,55667788000195,DELTA ENGENHARIA E CONSTRUCOES,ADN Nacional,NAO,procuracao,,1,1,1,1
005,99887766000124,EPSILON LOGISTICA E TRANSPORTES,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
006,12345678000195,ZETA SOLUCOES DIGITAIS LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
007,87654321000114,THETA COMERCIO DE ALIMENTOS E BEBIDAS,Provedor Municipal,SIM,procuracao,,1,1,1,0
008,11447722000159,IOTA HOSPITALAR E MEDICAMENTOS S.A.,ADN Nacional,NAO,proprio,ABCDEF1234567890ABCDEF1234567890ABCDEF12,1,1,1,1
009,22558833000103,KAPPA INDUSTRIA METALURGICA LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
010,33669944000147,LAMBDA MARKETING E PUBLICIDADE,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
011,44771155000191,MU COMERCIO DE VESTUARIO E CALCADOS,ADN Nacional,NAO,procuracao,,1,1,1,1
012,55882266000135,NU SERVICOS EDUCACIONAIS LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
013,66993377000180,XI CLINICA MEDICA E ODONTOLOGICA,Provedor Municipal,SIM,procuracao,,1,1,1,0
014,77114488000124,OMICRON GESTAO DE RECURSOS HUMANOS,ADN Nacional,NAO,procuracao,,1,1,1,1
015,88225599000168,PI COMERCIO DE MATERIAIS DE CONSTRUCAO,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
016,99336611000112,RHO SERVICOS DE LIMPEZA E CONSERVACAO,ADN Nacional,NAO,procuracao,,1,1,1,1
017,10293847000156,SIGMA ENERGIA E AMBIENTE LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
018,20394857000100,TAU TRANSPORTADORA E ARMAZENS GERAIS,Provedor Municipal,SIM,procuracao,,1,1,1,0
019,30495867000144,UPSILON TECH INNOVATION S.A.,ADN Nacional,NAO,proprio,9876543210FEDCBA9876543210FEDCBA98765432,1,1,1,1
020,40596978000189,PHI DISTRIBUIDORA DE PRODUTOS QUIMICOS,ADN Nacional,NAO,procuracao,,1,1,1,1
021,50697988000133,CHI IMPORTACAO E EXPORTACAO LTDA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
022,60798998000177,PSI HOLDING E PARTICIPACOES S.A.,ADN Nacional,NAO,procuracao,,1,1,1,1
023,70899019000121,OMEGA ASSESSORIA CONTABIL E FISCAL,ADN Nacional,NAO,procuracao,,1,1,1,1
024,80900129000165,FABRICA DE MOVEIS ESCOCESA LTDA,Provedor Municipal,SIM,procuracao,,1,1,1,0
025,91011239000109,AUTO PECAS RODOVIARIA PAULISTA,ADN Nacional,NAO,procuracao,,1,1,1,1
026,02122340000153,POSTO DE COMBUSTIVEIS ESTRELA DO SUL,ADN Nacional,NAO,procuracao,,1,1,1,1
027,13233451000197,SUPERMERCADO BOM PRECO DE MINAS,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
028,24344562000141,FARMACIA POPULAR CENTRAL LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
029,35455673000185,PANIFICADORA E CONFEITARIA SABOR DOS ANJOS,ADN Nacional,NAO,procuracao,,1,1,1,1
030,46566784000129,HOTEL FAZENDA VALE VERDE LTDA,Provedor Municipal,SIM,procuracao,,1,1,1,0
031,57677895000173,POSTO DE SAUDE E LABORATORIO VIDA,ADN Nacional,NAO,proprio,1122334455667788990011223344556677889900,1,1,1,1
032,68788906000117,ACADEMIA CORPO E MOVIMENTO LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
033,79899017000161,PET SHOP AMIGO FIEL LTDA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
034,80910128000105,LIVRARIA E PAPELARIA CULTURAL,ADN Nacional,NAO,procuracao,,1,1,1,1
035,91021239000149,CONSTRUTORA E INCORPORADORA HORIZONTE,ADN Nacional,NAO,procuracao,,1,1,1,1
036,02132350000193,OFICINA MECANICA EXPRESS LTDA,Provedor Municipal,SIM,procuracao,,1,1,1,0
037,13243461000137,DISTRIBUIDORA DE BEBIDAS IMPERIO,ADN Nacional,NAO,procuracao,,1,1,1,1
038,24354572000181,CLINICA DE FISIOTERAPIA REABILITAR,ADN Nacional,NAO,procuracao,,1,1,1,1
039,35465683000125,ESCOLA INFANTIL CANTINHO DA CRIANCA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
040,46576794000169,STUDIO DE FOTOGRAFIA LUZ E ARTE,ADN Nacional,NAO,procuracao,,1,1,1,1
041,57687805000113,AGENCIA DE VIAGENS TURISMO MUNDIAL,ADN Nacional,NAO,procuracao,,1,1,1,1
042,68798916000157,BAR E RESTAURANTE SABOR CASEIRO,Provedor Municipal,SIM,procuracao,,1,1,1,0
043,79909027000101,CASA DE CARNES BOA VISTA LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
044,81010138000145,FLORICULTURA PRIMAVERA LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
045,92121249000189,CORRETORA DE SEGUROS SEGURA VIDA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
046,03232360000133,LOCADORA DE VEICULOS RAPIDO LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
047,14343471000177,SALAO DE BELEZA E ESTETICA DIVA,ADN Nacional,NAO,procuracao,,1,1,1,1
048,25454582000111,VIDRACARIA ARCO-IRIS LTDA,Provedor Municipal,SIM,procuracao,,1,1,1,0
049,36565693000155,MARMORES E GRANITOS SAO JUDAS,ADN Nacional,NAO,procuracao,,1,1,1,1
050,47676704000199,SERVICOS DE JARDINAGEM VERDE VIDA,ADN Nacional,NAO,procuracao,,1,1,1,1
051,58787815000143,IMPRESSOS E GRAFICA RAPIDA MODELO,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
052,69898926000187,COMERCIAL DE PNEUS E BORRACHARIA,ADN Nacional,NAO,procuracao,,1,1,1,1
053,70909037000121,OFICINA DE FUNILARIA E PINTURAO,ADN Nacional,NAO,procuracao,,1,1,1,1
054,81010148000165,LOJA DE PRESENTES E UTILIDADES,Provedor Municipal,SIM,procuracao,,1,1,1,0
055,92121259000109,FABRICA DE MASSAS FRESCAS ITALIA,ADN Nacional,NAO,proprio,DEADBEEF12345678DEADBEEF12345678DEADBEEF,1,1,1,1
056,03232370000153,CENTRO DE TREINAMENTO ESPORTIVO,ADN Nacional,NAO,procuracao,,1,1,1,1
057,14343481000197,COOPERATIVA DE PRODUTORES RURAIS,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
058,25454592000141,INSTITUTO DE IDIOMAS GLOBAL TALK,ADN Nacional,NAO,procuracao,,1,1,1,1
059,36565603000185,CONSULTORIA FINANCEIRA INVESTIR BEM,ADN Nacional,NAO,procuracao,,1,1,1,1
060,47676714000129,SERVICOS DE SEGURANCA PATRIMONIAL,Provedor Municipal,SIM,procuracao,,1,1,1,0
061,58787825000173,LABORATORIO DE ANALISES CLINICAS SAUDE,ADN Nacional,NAO,procuracao,,1,1,1,1
062,69898936000117,OFICINA DE COSTURA E REPAROS CHIC,ADN Nacional,NAO,procuracao,,1,1,1,1
063,70909047000161,TRANSPORTES DE CARGAS RAPIDAS EXPRESSO,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
064,81010158000105,DISTRIBUIDORA DE GAS E AGUA MINERAL,ADN Nacional,NAO,procuracao,,1,1,1,1
065,92121269000149,PAPELARIA E INFORMATICA TECNO SHOP,ADN Nacional,NAO,procuracao,,1,1,1,1
066,03232380000193,CLINICA VETERINARIA QUATRO PATAS,Provedor Municipal,SIM,procuracao,,1,1,1,0
067,14343491000137,FARMACIA DE MANIPULACAO FORMULA EXATA,ADN Nacional,NAO,procuracao,,1,1,1,1
068,25454602000181,HOTEL POUSADA BEIRA MAR LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
069,36565713000125,STUDIO DE PILATES E BEM ESTAR,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
070,47676824000169,OFICINA DE REPARACAO DE CELULARES,ADN Nacional,NAO,procuracao,,1,1,1,1
071,58787935000113,CASA DE MATERIAIS ELETRICOS LUZ,ADN Nacional,NAO,procuracao,,1,1,1,1
072,69899046000157,RESTAURANTE E CHURRASCARIA GAÚCHA,Provedor Municipal,SIM,procuracao,,1,1,1,0
073,70909157000101,SERVICOS DE PINTURA E REFORMA EM GERAL,ADN Nacional,NAO,procuracao,,1,1,1,1
074,81010268000145,DISTRIBUIDORA DE HORTIFRUTIGRANJEIROS,ADN Nacional,NAO,procuracao,,1,1,1,1
075,92121379000189,SERVICOS DE CONTABILIDADE EXATA S/C,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
076,03232490000133,LOJA DE BRINQUEDOS E PRESENTES ALEGRIA,ADN Nacional,NAO,procuracao,,1,1,1,1
077,14343501000177,SOCIEDADE DE ADVOGADOS ASSOCIADOS,ADN Nacional,NAO,procuracao,,1,1,1,1
078,25454612000111,CLINICA PSICOLOGICA EQUILIBRIO MENTAL,Provedor Municipal,SIM,procuracao,,1,1,1,0
079,36565723000155,SERVICOS DE BUFFET E EVENTOS FESTA,ADN Nacional,NAO,procuracao,,1,1,1,1
080,47676834000199,OFICINA DE CHAVEIRO E CARIMBOS 24H,ADN Nacional,NAO,procuracao,,1,1,1,1
081,58787945000143,DISTRIBUIDORA DE RACAO E PET SHOP,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
082,69899056000187,SERVICOS DE ENGENHARIA CIVIL PROJETOS,ADN Nacional,NAO,procuracao,,1,1,1,1
083,70909167000121,POSTO DE GASOLINA VIA RAPIDA LTDA,ADN Nacional,NAO,procuracao,,1,1,1,1
084,81010278000165,SUPERMERCADO FAMILIAR BOM JESUS,Provedor Municipal,SIM,procuracao,,1,1,1,0
085,92121389000109,FABRICA DE ESQUADRIAS DE ALUMINIO,ADN Nacional,NAO,proprio,CAFE1234567890CAFE1234567890CAFE1234567890,1,1,1,1
086,03232500000153,COMERCIO DE APARELHOS ORTOPEDICOS,ADN Nacional,NAO,procuracao,,1,1,1,1
087,14343511000197,SERVICOS DE TRADUCAO E IDIOMAS,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
088,25454622000141,CLINICA ODONTOLOGICA SORRISO PERFEITO,ADN Nacional,NAO,procuracao,,1,1,1,1
089,36565733000185,SERVICOS DE ARQUITETURA E URBANISMO,ADN Nacional,NAO,procuracao,,1,1,1,1
090,47676844000129,OFICINA DE REPARO DE BICICLETAS,Provedor Municipal,SIM,procuracao,,1,1,1,0
091,58787955000173,DISTRIBUIDORA DE COSMETICOS BELEZA PURA,ADN Nacional,NAO,procuracao,,1,1,1,1
092,69899066000117,ESCOLA DE DANCA E ARTES CENICAS,ADN Nacional,NAO,procuracao,,1,1,1,1
093,70909177000161,SERVICOS DE MARKETING DIGITAL AGENCIA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
094,81010288000105,LOJA DE CALCADOS E ACESSORIOS MODA,ADN Nacional,NAO,procuracao,,1,1,1,1
095,92121399000149,FABRICA DE BOLOS E TORTAS CASEIRAS,ADN Nacional,NAO,procuracao,,1,1,1,1
096,03232610000193,CENTRO AUTOMOTIVO MULTIMARCAS,Provedor Municipal,SIM,procuracao,,1,1,1,0
097,14343521000137,SERVICOS DE CONSULTORIA AMBIENTAL,ADN Nacional,NAO,procuracao,,1,1,1,1
098,25454632000181,DISTRIBUIDORA DE PRODUTOS DE LIMPEZA,ADN Nacional,NAO,procuracao,,1,1,1,1
099,36565743000125,SERVICOS DE DESIGN GRAFICO E WEB,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
100,47676854000169,OFICINA DE CONSERTO DE ELETRODOMESTICOS,ADN Nacional,NAO,procuracao,,1,1,1,1
101,58787965000113,CASA DE CARNES E FRIOS PRIME,ADN Nacional,NAO,procuracao,,1,1,1,1
102,69899076000157,RESTAURANTE VEGANO SABOR NATURAL,Provedor Municipal,SIM,procuracao,,1,1,1,0
103,70909187000101,SERVICOS DE IMPERMEABILIZACAO,ADN Nacional,NAO,procuracao,,1,1,1,1
104,81010298000145,DISTRIBUIDORA DE DOCES E SALGADOS,ADN Nacional,NAO,procuracao,,1,1,1,1
105,92121409000189,SERVICOS DE AUDITORIA CONTABIL,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
106,03232720000133,LOJA DE ARTIGOS DE PESCA E CAMPING,ADN Nacional,NAO,procuracao,,1,1,1,1
107,14343531000177,CLINICA DE ACUPUNTURA E MASSAGEM,ADN Nacional,NAO,procuracao,,1,1,1,1
108,25454642000111,DISTRIBUIDORA DE TINTAS E ACESSORIOS,Provedor Municipal,SIM,procuracao,,1,1,1,0
109,36565753000155,SERVICOS DE LOCACAO DE EQUIPAMENTOS,ADN Nacional,NAO,procuracao,,1,1,1,1
110,47676864000199,OFICINA DE VIDRACARIA AUTOMOTIVA,ADN Nacional,NAO,procuracao,,1,1,1,1
111,58787975000143,DISTRIBUIDORA DE EMBALAGENS PLASTICAS,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
112,69899086000187,SERVICOS DE INSTALACAO SOLAR,ADN Nacional,NAO,procuracao,,1,1,1,1
113,70909197000121,POSTO DE SERVICOS AUTOMOTIVOS VIP,ADN Nacional,NAO,procuracao,,1,1,1,1
114,81010308000165,SUPERMERCADO ECONOMICO POPULAR,Provedor Municipal,SIM,procuracao,,1,1,1,0
115,92121519000109,FABRICA DE ARTEFATOS DE CIMENTO,ADN Nacional,NAO,proprio,BEEFCAFE12345678BEEFCAFE12345678BEEFCAFE12,1,1,1,1
116,03232830000153,COMERCIO DE EQUIPAMENTOS MEDICOS,ADN Nacional,NAO,procuracao,,1,1,1,1
117,14343541000197,SERVICOS DE TRADUCAO JURAMENTADA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
118,25454652000141,CLINICA DE OFTALMOLOGIA VISAO CLARA,ADN Nacional,NAO,procuracao,,1,1,1,1
119,36565763000185,SERVICOS DE TOPOGRAFIA E GEODESIA,ADN Nacional,NAO,procuracao,,1,1,1,1
120,47676874000129,OFICINA DE CONSERTO DE RELOGIOS,Provedor Municipal,SIM,procuracao,,1,1,1,0
121,58787985000173,DISTRIBUIDORA DE PERFUMARIA FINA,ADN Nacional,NAO,procuracao,,1,1,1,1
122,69899096000117,ESCOLA DE MUSICA E CANTO ACORDE,ADN Nacional,NAO,procuracao,,1,1,1,1
123,70909207000161,SERVICOS DE GESTAO DE REDES SOCIAIS,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
124,81010318000105,LOJA DE MODa INFANTIL CRESCER,ADN Nacional,NAO,procuracao,,1,1,1,1
125,92121629000149,FABRICA DE SALGADINHOS PARA FESTAS,ADN Nacional,NAO,procuracao,,1,1,1,1
126,03232940000193,CENTRO DE ESTETICA AUTOMOTIVA GLOW,Provedor Municipal,SIM,procuracao,,1,1,1,0
127,14343551000137,SERVICOS DE PERicia TECNICA E JUDICIAL,ADN Nacional,NAO,procuracao,,1,1,1,1
128,25454662000181,DISTRIBUIDORA DE MATERIAIS HOSPITALARES,ADN Nacional,NAO,procuracao,,1,1,1,1
129,36565773000125,SERVICOS DE CONSULTORIA EM RH,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
130,47676884000169,OFICINA DE MANUTENCAO DE IMPRESSORAS,ADN Nacional,NAO,procuracao,,1,1,1,1
131,58787995000113,CASA DE PAES E DELICATESSEN,ADN Nacional,NAO,procuracao,,1,1,1,1
132,69899106000157,PIZZARIA E ESFIHARIA NOITE BOA,Provedor Municipal,SIM,procuracao,,1,1,1,0
133,70909217000101,SERVICOS DE LIMPEZA DE FACHADAS,ADN Nacional,NAO,procuracao,,1,1,1,1
134,81010328000145,DISTRIBUIDORA DE BEBIDAS GELADAS,ADN Nacional,NAO,procuracao,,1,1,1,1
135,92121739000189,SERVICOS DE ASSESSORIA DE IMPRENSA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
136,03233050000133,LOJA DE ARTIGOS DE DECORACAO CASA,ADN Nacional,NAO,procuracao,,1,1,1,1
137,14343561000177,CLINICA DE QUIROPRAXIA E POSTURA,ADN Nacional,NAO,procuracao,,1,1,1,1
138,25454672000111,DISTRIBUIDORA DE FERRAMENTAS E PECAS,Provedor Municipal,SIM,procuracao,,1,1,1,0
139,36565783000155,SERVICOS DE LOCACAO DE MAQUINAS,ADN Nacional,NAO,procuracao,,1,1,1,1
140,47676894000199,OFICINA DE FUNILARIA EXPRESS,ADN Nacional,NAO,procuracao,,1,1,1,1
141,58788005000143,DISTRIBUIDORA DE PAPEIS E DESCARTAVEIS,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
142,69899116000187,SERVICOS DE ENGENHARIA ELETRICA,ADN Nacional,NAO,procuracao,,1,1,1,1
143,70909227000121,POSTO DE COMBUSTIVEIS RODOVIA 101,ADN Nacional,NAO,procuracao,,1,1,1,1
144,81010338000165,SUPERMERCADO TOTAL DA ESQUINA,Provedor Municipal,SIM,procuracao,,1,1,1,0
145,92121849000109,FABRICA DE ARTEFATOS DE COURO,ADN Nacional,NAO,proprio,1234567890ABCDEF1234567890ABCDEF12345678,1,1,1,1
146,03233160000153,COMERCIO DE SUPRIMENTOS DE INFORMATICA,ADN Nacional,NAO,procuracao,,1,1,1,1
147,14343571000197,SERVICOS DE PERICIA GRAFOTECNICA,Provedor Municipal,NAO_INFORMADO,procuracao,,1,1,1,0
